2026-02-10;08:00:12;192.168.1.10;22;TCP;ECHEC
2026-02-10;08:00:15;192.168.1.10;22;TCP;ECHEC
2026-02-10;08:00:18;192.168.1.10;22;TCP;ECHEC
2026-02-10;08:00:21;192.168.1.10;22;TCP;ECHEC
2026-02-10;08:00:24;192.168.1.10;22;TCP;ECHEC
2026-02-10;08:00:27;192.168.1.10;22;TCP;ECHEC
2026-02-10;08:01:02;10.0.0.5;80;TCP;SUCCES
2026-02-10;08:01:10;10.0.0.6;80;TCP;SUCCES
2026-02-10;08:01:25;172.16.0.3;443;TCP;SUCCES
2026-02-10;08:02:01;172.16.0.4;443;TCP;SUCCES
2026-02-10;08:02:15;192.168.1.15;25;TCP;SUCCES
2026-02-10;08:02:33;192.168.1.18;110;TCP;SUCCES
2026-02-10;08:03:01;10.0.0.7;53;UDP;SUCCES
2026-02-10;08:03:10;10.0.0.8;53;UDP;SUCCES
2026-02-10;08:03:22;192.168.1.20;21;TCP;ECHEC
2026-02-10;08:03:25;192.168.1.20;21;TCP;ECHEC
2026-02-10;08:03:28;192.168.1.20;21;TCP;ECHEC
2026-02-10;08:03:31;192.168.1.20;21;TCP;ECHEC
2026-02-10;08:03:34;192.168.1.20;21;TCP;ECHEC
2026-02-10;08:03:37;192.168.1.20;21;TCP;ECHEC
2026-02-10;08:04:01;10.0.0.9;443;TCP;SUCCES
2026-02-10;08:04:15;10.0.0.10;443;TCP;SUCCES
2026-02-10;08:04:30;172.16.0.5;80;TCP;SUCCES
2026-02-10;08:05:01;172.16.0.6;22;TCP;SUCCES
2026-02-10;08:05:12;192.168.1.25;22;TCP;ECHEC
2026-02-10;08:05:20;192.168.1.25;22;TCP;SUCCES
2026-02-10;08:06:01;10.0.0.11;8080;TCP;SUCCES
2026-02-10;08:06:15;10.0.0.12;8080;TCP;SUCCES
2026-02-10;08:06:33;172.16.0.7;443;TCP;SUCCES
2026-02-10;08:07:01;172.16.0.8;80;TCP;SUCCES
2026-02-10;08:07:15;10.0.0.13;3389;TCP;ECHEC
2026-02-10;08:07:20;10.0.0.13;3389;TCP;ECHEC
2026-02-10;08:07:25;10.0.0.13;3389;TCP;SUCCES
2026-02-10;08:08:01;192.168.1.30;25;TCP;SUCCES
2026-02-10;08:08:15;192.168.1.31;110;TCP;SUCCES
2026-02-10;08:09:01;10.0.0.14;53;UDP;SUCCES
2026-02-10;08:09:15;10.0.0.15;53;UDP;SUCCES
2026-02-10;08:10:01;172.16.0.9;443;TCP;SUCCES
2026-02-10;08:10:12;172.16.0.10;80;TCP;SUCCES
2026-02-10;08:11:01;192.168.1.35;22;TCP;SUCCES
2026-02-10;08:11:12;192.168.1.36;22;TCP;ECHEC
2026-02-10;08:11:20;192.168.1.36;22;TCP;SUCCES
2026-02-10;08:12:01;10.0.0.16;443;TCP;SUCCES
2026-02-10;08:12:15;10.0.0.17;80;TCP;SUCCES
2026-02-10;08:13:01;172.16.0.11;21;TCP;SUCCES
2026-02-10;08:13:15;172.16.0.12;21;TCP;SUCCES
2026-02-10;08:14:01;192.168.1.40;22;TCP;ECHEC
2026-02-10;08:14:05;192.168.1.40;22;TCP;ECHEC
2026-02-10;08:14:09;192.168.1.40;22;TCP;ECHEC
2026-02-10;08:14:13;192.168.1.40;22;TCP;ECHEC
2026-02-10;08:14:17;192.168.1.40;22;TCP;ECHEC
2026-02-10;08:14:21;192.168.1.40;22;TCP;ECHEC
2026-02-10;08:15:01;10.0.0.18;443;TCP;SUCCES
2026-02-10;08:15:15;10.0.0.19;80;TCP;SUCCES
2026-02-10;08:16:01;172.16.0.13;25;TCP;SUCCES
2026-02-10;08:16:15;172.16.0.14;110;TCP;SUCCES
2026-02-10;08:17:01;192.168.1.45;8080;TCP;SUCCES
2026-02-10;08:17:15;192.168.1.46;8080;TCP;SUCCES
2026-02-10;08:18:01;10.0.0.20;3389;TCP;ECHEC
2026-02-10;08:18:10;10.0.0.20;3389;TCP;ECHEC
2026-02-10;08:18:20;10.0.0.20;3389;TCP;ECHEC
2026-02-10;08:18:30;10.0.0.20;3389;TCP;SUCCES
2026-02-10;08:19:01;172.16.0.15;443;TCP;SUCCES
2026-02-10;08:19:15;172.16.0.16;80;TCP;SUCCES
2026-02-10;08:20:01;192.168.1.50;22;TCP;SUCCES
2026-02-10;08:20:15;192.168.1.51;22;TCP;SUCCES
2026-02-10;08:21:01;10.0.0.21;53;UDP;SUCCES
2026-02-10;08:21:15;10.0.0.22;53;UDP;SUCCES
2026-02-10;08:22:01;172.16.0.17;443;TCP;SUCCES
2026-02-10;08:22:15;172.16.0.18;80;TCP;SUCCES
2026-02-10;08:23:01;192.168.1.60;25;TCP;SUCCES
2026-02-10;08:23:15;192.168.1.61;110;TCP;SUCCES
2026-02-10;08:24:01;10.0.0.23;8080;TCP;SUCCES
2026-02-10;08:24:15;10.0.0.24;8080;TCP;SUCCES
2026-02-10;08:25:01;172.16.0.19;21;TCP;SUCCES
2026-02-10;08:25:15;172.16.0.20;21;TCP;SUCCES
2026-02-10;08:26:01;192.168.1.70;22;TCP;SUCCES
2026-02-10;08:26:15;192.168.1.71;22;TCP;SUCCES
2026-02-10;08:27:01;10.0.0.25;443;TCP;SUCCES
2026-02-10;08:27:15;10.0.0.26;80;TCP;SUCCES
2026-02-10;08:28:01;172.16.0.21;3389;TCP;SUCCES
2026-02-10;08:28:15;172.16.0.22;3389;TCP;SUCCES
2026-02-10;08:29:01;192.168.1.80;53;UDP;SUCCES
2026-02-10;08:29:15;192.168.1.81;53;UDP;SUCCES
